Prospect ID,Lead Number,Lead Origin,Lead Source,Do Not Email,Do Not Call,Converted,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Last Activity,Country,Specialization,How did you hear about X Education,What is your current occupation,What matters most to you in choosing a course,Search,Magazine,Newspaper Article,X Education Forums,Newspaper,Digital Advertisement,Through Recommendations,Receive More Updates About Our Courses,Tags,Lead Quality,Update me on Supply Chain Content,Get updates on DM Content,Lead Profile,City,Asymmetrique Activity Index,Asymmetrique Profile Index,Asymmetrique Activity Score,Asymmetrique Profile Score,I agree to pay the amount through cheque,A free copy of Mastering The Interview,Last Notable Activity
8bf76a52-2478-476b-8618-1688e07874ad,660562,API,Organic Search,No,No,1,11.0,1538,11.0,Email Opened,India,Marketing Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Select,01.High,02.Medium,16.0,16.0,No,No,Modified
fd71ab5b-53b8-4105-9960-efedc44962fa,660478,API,Google,No,No,0,4.0,377,1.33,Page Visited on Website,India,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,In confusion whether part time or DLP,Worst,No,No,Potential Lead,Select,02.Medium,02.Medium,15.0,16.0,No,No,Modified
ecd117ca-375f-49ea-afd6-b52b84d00c69,660458,API,Google,No,No,1,6.0,1137,1.5,Email Opened,India,Marketing Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Mumbai,02.Medium,01.High,14.0,18.0,No,Yes,Email Opened
b3455e2e-8236-478a-b1aa-666ad3381722,660410,API,Google,No,No,1,3.0,78,3.0,Unreachable,India,International Business,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Mumbai,01.High,01.High,16.0,18.0,No,No,Unreachable
d2055a36-b268-43a0-beeb-9a715f6a660d,660374,API,Google,No,No,0,3.0,88,1.5,Email Opened,India,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Not Sure,No,No,Select,Select,02.Medium,02.Medium,13.0,15.0,No,No,Modified
c7d82991-3477-40ca-a616-db2d09228a55,660361,API,Referral Sites,No,No,0,4.0,223,2.0,Page Visited on Website,India,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Low in Relevance,No,No,Select,Select,02.Medium,02.Medium,15.0,13.0,No,No,Modified
e60a54bc-0816-430e-a99a-019a8b5a27e5,660267,Landing Page Submission,Google,No,No,1,5.0,563,5.0,Email Opened,India,Finance Management,Student of SomeSchool,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Mumbai,02.Medium,01.High,13.0,20.0,No,No,Email Opened
e50b7515-b5a5-4691-a450-5e28ba99b472,660255,API,Google,No,No,0,2.0,310,2.0,Email Link Clicked,India,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Select,Select,02.Medium,02.Medium,14.0,15.0,No,No,Email Link Clicked
18633077-5162-4cc6-8728-bc25f7a32fd1,660174,Landing Page Submission,Direct Traffic,No,No,0,2.0,547,2.0,Email Opened,India,Finance Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Already a student,High in Relevance,No,No,Potential Lead,Mumbai,02.Medium,01.High,15.0,20.0,No,Yes,Email Opened
86681269-67b1-4909-90c0-216136535815,660149,API,Google,No,No,0,6.0,1225,6.0,Page Visited on Website,India,Supply Chain Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Diploma holder (Not Eligible),Worst,No,No,Other Leads,Thane & Outskirts,03.Low,02.Medium,12.0,15.0,No,No,Modified
59e722da-edff-43d9-af61-f5c8bcc986c4,659998,Landing Page Submission,Referral Sites,No,No,1,13.0,436,13.0,Form Submitted on Website,India,IT Projects Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Busy,Low in Relevance,No,No,Potential Lead,Other Metro Cities,02.Medium,02.Medium,15.0,13.0,No,No,Modified
73413bd6-e089-4b8f-9359-ad5825101790,659146,Landing Page Submission,Google,No,No,1,5.0,1091,5.0,Unreachable,India,Finance Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Mumbai,02.Medium,01.High,13.0,20.0,No,No,Unreachable
08424302-ffe0-4c2d-be4f-d099f75a3eb5,659057,Landing Page Submission,Google,No,No,0,5.0,232,2.5,Email Opened,India,Human Resource Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Might be,No,No,Other Leads,Other Cities,02.Medium,02.Medium,13.0,16.0,No,No,Email Opened
2e314eed-ab56-4594-b12f-2402b355eca6,659038,Landing Page Submission,Organic Search,No,No,1,5.0,614,5.0,Unreachable,India,Finance Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Thane & Outskirts,02.Medium,01.High,15.0,19.0,No,Yes,Unreachable
